GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TPB 3,com.mycompany.myapp.security.jwt,JWTFilter,0,51,0,8,0,14,0,7,0,3
TPB 3,com.mycompany.myapp.security.jwt,TokenProvider,10,212,2,4,1,53,2,6,0,5
TPB 3,com.mycompany.myapp.security.jwt,JWTConfigurer,18,0,0,0,6,0,2,0,2,0
TPB 3,com.mycompany.myapp.domain,AbstractAuditingEntity,16,21,0,0,8,9,4,5,4,5
TPB 3,com.mycompany.myapp.domain,User,70,83,8,0,17,33,14,20,10,20
TPB 3,com.mycompany.myapp.domain,AbstractAuditingEntity_,3,0,0,0,1,0,1,0,1,0
TPB 3,com.mycompany.myapp.domain,User_,3,0,0,0,1,0,1,0,1,0
TPB 3,com.mycompany.myapp.domain,Authority_,3,0,0,0,1,0,1,0,1,0
TPB 3,com.mycompany.myapp.domain,Authority,21,14,4,0,6,5,4,4,2,4
TPB 3,com.mycompany.myapp,Tpb3App,147,0,10,0,34,0,11,0,6,0
TPB 3,com.mycompany.myapp,ApplicationWebXml,15,0,0,0,3,0,2,0,2,0
TPB 3,com.mycompany.myapp.management,SecurityMetersService,0,57,0,0,0,19,0,6,0,6
TPB 3,com.mycompany.myapp.service,EmailAlreadyUsedException,4,0,0,0,2,0,1,0,1,0
TPB 3,com.mycompany.myapp.service,UsernameAlreadyUsedException,4,0,0,0,2,0,1,0,1,0
TPB 3,com.mycompany.myapp.service,MailService,181,0,2,0,42,0,7,0,6,0
TPB 3,com.mycompany.myapp.service,InvalidPasswordException,4,0,0,0,2,0,1,0,1,0
TPB 3,com.mycompany.myapp.service,UserService,561,0,20,0,161,0,38,0,28,0
TPB 3,com.mycompany.myapp.service.dto,UserDTO,23,11,0,0,9,4,6,1,6,1
TPB 3,com.mycompany.myapp.service.dto,AdminUserDTO,92,95,0,0,31,27,18,11,18,11
TPB 3,com.mycompany.myapp.service.dto,PasswordChangeDTO,26,0,0,0,12,0,6,0,6,0
TPB 3,com.mycompany.myapp.aop.logging,LoggingAspect,116,0,10,0,27,0,11,0,6,0
TPB 3,com.mycompany.myapp.config,LoggingConfiguration,53,0,8,0,15,0,5,0,1,0
